user_id,visit_date,page_views,bounce_rate,session_duration
1,2024-08-09,6,0.17,325
2,2024-08-06,1,0.18,290
3,2024-08-02,3,0.4,481
4,2024-08-03,10,0.29,517
5,2024-08-07,2,0.2,226
6,2024-08-06,4,0.33,388
7,2024-08-08,5,0.12,499
8,2024-08-14,4,0.46,589
9,2024-08-07,1,0.26,540
10,2024-08-08,10,0.25,468
11,2024-08-09,9,0.23,154
12,2024-08-06,5,0.46,524
13,2024-08-11,3,0.39,390
14,2024-08-15,2,0.15,350
15,2024-08-05,5,0.18,193
16,2024-08-04,3,0.35,434
17,2024-08-02,7,0.14,441
18,2024-08-07,4,0.32,299
19,2024-08-02,1,0.43,247
20,2024-08-05,10,0.21,236
21,2024-08-04,9,0.45,475
22,2024-08-02,10,0.21,363
23,2024-08-12,9,0.31,520
24,2024-08-13,2,0.13,517
25,2024-08-08,3,0.42,80
26,2024-08-05,4,0.21,546
27,2024-08-10,2,0.39,286
28,2024-08-05,9,0.13,165
29,2024-08-13,6,0.44,587
30,2024-08-09,2,0.19,560
31,2024-08-14,10,0.33,232
32,2024-08-01,3,0.28,271
33,2024-08-02,4,0.15,553
34,2024-08-06,4,0.37,459
35,2024-08-09,2,0.14,208
36,2024-08-03,10,0.21,158
37,2024-08-15,10,0.16,550
38,2024-08-09,4,0.34,237
39,2024-08-06,3,0.11,502
40,2024-08-09,1,0.42,592
41,2024-08-06,10,0.29,590
42,2024-08-14,2,0.38,224
43,2024-08-09,10,0.19,481
44,2024-08-11,4,0.21,185
45,2024-08-04,9,0.49,504
46,2024-08-11,2,0.18,116
47,2024-08-12,5,0.17,262
48,2024-08-11,3,0.35,258
49,2024-08-11,5,0.31,394
50,2024-08-11,5,0.41,187
51,2024-08-13,6,0.48,581
52,2024-08-10,1,0.3,547
53,2024-08-10,10,0.35,320
54,2024-08-03,4,0.21,543
55,2024-08-08,5,0.44,260
56,2024-08-08,8,0.25,532
57,2024-08-06,10,0.47,578
58,2024-08-11,3,0.46,528
59,2024-08-03,3,0.33,217
60,2024-08-08,5,0.42,478
61,2024-08-07,4,0.45,199
62,2024-08-06,8,0.16,328
63,2024-08-03,1,0.37,269
64,2024-08-13,7,0.13,414
65,2024-08-02,1,0.35,325
66,2024-08-13,8,0.42,378
67,2024-08-14,10,0.32,526
68,2024-08-10,6,0.24,382
69,2024-08-03,2,0.23,514
70,2024-08-08,5,0.11,575
71,2024-08-04,10,0.44,343
72,2024-08-05,9,0.11,169
73,2024-08-03,5,0.2,452
74,2024-08-06,2,0.23,288
75,2024-08-07,5,0.14,468
76,2024-08-15,5,0.26,353
77,2024-08-11,7,0.21,376
78,2024-08-06,4,0.15,142
79,2024-08-09,6,0.48,355
80,2024-08-04,8,0.46,154
81,2024-08-07,8,0.17,312
82,2024-08-01,1,0.3,456
83,2024-08-07,6,0.35,280
84,2024-08-03,10,0.11,391
85,2024-08-03,5,0.19,61
86,2024-08-14,7,0.27,559
87,2024-08-13,7,0.4,149
88,2024-08-06,1,0.14,318
89,2024-08-15,6,0.35,455
90,2024-08-13,6,0.28,553
91,2024-08-01,2,0.39,168
92,2024-08-04,5,0.42,133
93,2024-08-12,9,0.24,256
94,2024-08-13,6,0.5,77
95,2024-08-08,8,0.2,380
96,2024-08-02,10,0.2,327
97,2024-08-09,2,0.34,182
98,2024-08-08,1,0.5,400
99,2024-08-09,1,0.35,494
100,2024-08-05,7,0.19,320
